ID   SpT     S/N SpT     S/N ri_c ri_o  Eri  err_Eri EW(Ha) fD   Eri_cs Eri_is err_Eri_is EBV_is err_EBV_is R13  err_R13 086_SFD98 RF09 Sale14
170  ""      ""  Early-B 19  0.64 -0.13 0.77 0.05   -15     0.05 0.06   0.71   0.05       1.09   0.08       ""   ""      0.83      0.51 1.39
171  ""      ""  B4      28  0.41 -0.09 0.50 0.02    -9     0.03 0.04   0.46   0.04       0.71   0.06       ""   ""      0.52      0.47 1.05
172  ""      ""  Late-B  25  0.67 -0.04 0.71 0.04   -11     0.04 0.07   0.64   0.05       0.98   0.08       ""   ""      0.82      0.46 0.99
173  ""      ""  Mid-B   25  0.79 -0.08 0.87 0.05   -48     0.16 0.20   0.67   0.06       1.03   0.09       ""   ""      0.85      0.45 1.05
175  ""      ""  B3      30  0.60 -0.12 0.72 0.02   -27     0.09 0.11   0.61   0.04       0.94   0.06       ""   ""      0.91      0.59 1.35
176  B3IV    32  cont+Ba 18  1.17 -0.12 1.29 0.02   -43     0.14 0.16   1.13   0.05       1.74   0.08       1.58 0.07    1.70      0.74 1.57
177  ""      ""  Mid-B   13  0.78 -0.08 0.86 0.05   -14     0.05 0.07   0.79   0.06       1.22   0.09       ""   ""      0.95      0.44 1.12
178  ""      ""  Late-B  12  0.60 -0.04 0.64 0.04   -16     0.05 0.09   0.55   0.05       0.85   0.08       ""   ""      0.53      0.52 0.78
179  ""      ""  Mid-B   17  0.66 -0.08 0.73 0.05   -30     0.10 0.13   0.60   0.06       0.92   0.09       ""   ""      0.82      0.39 0.85
180  B5V     50  cont+Ba  9  0.54 -0.08 0.62 0.01   -12     0.04 0.06   0.56   0.03       0.86   0.05       0.78 0.07    0.73      0.38 0.89
181  B8V     22  ""      ""  0.77 -0.04 0.81 0.02   -17     0.06 0.10   0.71   0.04       1.09   0.06       ""   ""      1.06      0.41 1.13
182  ""      ""  Early-B 20  0.58 -0.13 0.71 0.05   -17     0.06 0.07   0.64   0.05       0.98   0.08       ""   ""      0.46      0.38 0.75
183  ""      ""  B7      45  0.36 -0.06 0.42 0.02   -12     0.04 0.07   0.35   0.04       0.54   0.06       ""   ""      0.68      0.27 0.67
184  ""      ""  B4      42  0.58 -0.09 0.67 0.02   -25     0.08 0.10   0.57   0.05       0.88   0.08       ""   ""      0.49      0.38 0.75
185  ""      ""  Late-B  32  0.64 -0.04 0.68 0.04   -12     0.04 0.07   0.61   0.05       0.94   0.08       ""   ""      0.87      0.55 0.94
186  ""      ""  Late-B  39  0.37 -0.04 0.41 0.04   -18     0.06 0.10   0.31   0.05       0.48   0.08       ""   ""      0.73      0.32 0.90
187  B6V     45  cont+Ba 24  0.55 -0.07 0.62 0.02   -20     0.07 0.10   0.52   0.04       0.80   0.06       ""   ""      0.58      0.30 0.76
188  B7V     41  Late-B  25  0.66 -0.06 0.72 0.02   -44     0.15 0.22   0.50   0.05       0.77   0.08       1.04 0.07    1.26      0.70 1.59
189  B7-8V   39  cont+Ba  7  0.66 -0.05 0.71 0.02   -27     0.09 0.15   0.56   0.04       0.86   0.06       ""   ""      1.17      0.51 1.28
190  ""      ""  Late-B  28  0.61 -0.04 0.65 0.04   -15     0.05 0.09   0.56   0.05       0.86   0.08       ""   ""      1.92      0.52 1.33
191  B3V     33  cont+Ba 13  0.67 -0.12 0.79 0.02   -47     0.16 0.18   0.61   0.05       0.94   0.08       0.92 0.08    1.08      0.39 0.94
192  ""      ""  Early-B 27  0.56 -0.13 0.69 0.05   -34     0.11 0.12   0.57   0.06       0.88   0.09       ""   ""      0.65      0.33 0.63
193  B7V     39  Mid-B   19  0.69 -0.06 0.75 0.02   -39     0.13 0.19   0.56   0.05       0.86   0.08       0.94 0.07    1.48      0.68 1.37
194  ""      ""  B3      39  0.46 -0.12 0.58 0.02   -19     0.06 0.08   0.50   0.04       0.77   0.06       ""   ""      0.67      0.24 0.62
195  A0III   42  Late-B  14  0.50  0.00 0.50 0.01   -21     0.07 0.15   0.35   0.06       0.54   0.09       0.70 0.07    0.62      0.26 0.67
196  ""      ""  Mid-B   15  0.59 -0.08 0.67 0.05   -21     0.07 0.10   0.57   0.06       0.88   0.09       ""   ""      0.83      0.36 0.79
197  B7IV    40  Late-B  15  0.57 -0.06 0.63 0.02   -17     0.06 0.10   0.53   0.04       0.82   0.06       0.87 0.08    0.84      0.29 0.73
198  B3-4V   27  Late-B  16  0.67 -0.10 0.78 0.02   -36     0.12 0.14   0.64   0.05       0.98   0.08       0.98 0.08    1.05      0.38 1.14
199  ""      ""  Early-B 19  0.53 -0.13 0.66 0.05    -5     0.02 0.02   0.64   0.05       0.98   0.08       ""   ""      0.84      0.25 0.86
200  ""      ""  Early-B 32  0.56 -0.13 0.69 0.05   -35     0.12 0.13   0.56   0.06       0.86   0.09       ""   ""      0.78      0.26 0.79
201  ""      ""  Mid-B   39  0.44 -0.08 0.52 0.05   -20     0.07 0.10   0.42   0.06       0.65   0.09       ""   ""      0.80      0.33 0.71
202  ""      ""  B3      53  0.48 -0.12 0.60 0.02   -30     0.10 0.12   0.48   0.04       0.74   0.06       ""   ""      0.81      0.38 1.16
203  ""      ""  Mid-B   23  0.69 -0.08 0.77 0.05   -21     0.07 0.10   0.67   0.06       1.03   0.09       ""   ""      0.83      0.57 0.79
204  B3V     50  Mid-B   16  0.51 -0.12 0.63 0.02   -20     0.07 0.09   0.54   0.04       0.83   0.06       0.81 0.07    0.96      0.45 0.89
205  ""      ""  B5      31  0.39 -0.08 0.47 0.01   -20     0.07 0.10   0.37   0.04       0.57   0.06       ""   ""      2.12      0.35 0.89
206  ""      ""  B3      26  0.71 -0.12 0.83 0.02   -47     0.16 0.18   0.65   0.05       1.00   0.08       ""   ""      0.87      0.19 0.82
207  ""      ""  Early-B 43  0.57 -0.13 0.70 0.05   -52     0.17 0.18   0.52   0.06       0.80   0.09       ""   ""      1.25      0.29 0.61
208  ""      ""  B5      38  0.38 -0.08 0.46 0.01   -25     0.08 0.11   0.35   0.04       0.54   0.06       ""   ""      0.87      0.49 0.76
209  B3V     43  B4      36  0.42 -0.12 0.54 0.02   -40     0.13 0.15   0.39   0.05       0.60   0.08       0.67 0.07    0.77      0.32 0.72
210  ""      ""  Mid-B   23  0.47 -0.08 0.55 0.05   -43     0.14 0.18   0.37   0.06       0.57   0.09       ""   ""      0.99      0.23 0.61
211  ""      ""  Mid-B   32  0.40 -0.08 0.48 0.05   -32     0.11 0.15   0.33   0.06       0.51   0.09       ""   ""      0.83      0.48 0.73
212  ""      ""  Early-B 29  0.85 -0.13 0.98 0.05   -37     0.12 0.13   0.85   0.06       1.31   0.09       ""   ""      1.61      0.62 1.16
213  ""      ""  B5      40  0.34 -0.08 0.42 0.01   -23     0.08 0.11   0.31   0.04       0.48   0.06       ""   ""      0.75      0.28 0.65
214  B8-9III 61  Late-B  19  0.42 -0.03 0.45 0.02   -11     0.04 0.08   0.37   0.05       0.57   0.08       0.71 0.07    0.67      0.39 0.64
215  B3-4V   35  Mid-B   20  0.46 -0.10 0.56 0.02   -34     0.11 0.13   0.43   0.04       0.66   0.06       0.77 0.08    1.07      0.30 0.95
216  B5IV    44  Mid-B   26  0.55 -0.08 0.63 0.01   -65     0.22 0.26   0.37   0.06       0.57   0.09       0.69 0.08    1.07      0.35 0.95
217* ""      ""  Late-B  24  0.44 -0.04 0.48 0.15   -19     0.06 0.10   0.38   0.16       0.58   0.25       ""   ""      1.26      0.67 0.97
218  ""      ""  B6      35  0.40 -0.07 0.47 0.01   -21     0.07 0.10   0.37   0.04       0.57   0.06       ""   ""      1.63      0.31 0.62
219* ""      ""  B7      45  0.35 -0.06 0.41 0.14   -24     0.08 0.13   0.28   0.15       0.43   0.23       ""   ""      1.08      0.42 1.41
220* B7V     51  Late-B  28  0.43 -0.06 0.49 0.14    -9     0.03 0.05   0.44   0.15       0.68   0.23       0.72 0.08    0.70      0.31 0.72
221  ""      ""  Mid-B   21  0.60 -0.08 0.68 0.05   -30     0.10 0.13   0.55   0.06       0.85   0.09       ""   ""      0.60      0.42 0.87
222  B6V     25  Late-B  19  0.81 -0.07 0.88 0.02   -16     0.05 0.08   0.80   0.03       1.23   0.05       1.20 0.10    1.39      0.68 1.38
223  B7V     55  ""      ""  0.54 -0.06 0.60 0.02   -13     0.04 0.07   0.53   0.04       0.82   0.06       ""   ""      1.44      0.48 1.08
224* B5V     45  Mid-B   24  0.60 -0.08 0.68 0.14   -12     0.04 0.06   0.62   0.15       0.95   0.23       0.93 0.07    1.33      0.72 1.39
225  ""      ""  Mid-B   20  0.73 -0.08 0.81 0.05   -46     0.15 0.19   0.62   0.06       0.95   0.09       ""   ""      0.65      0.44 0.99
226  B4V     30  Mid-B   27  0.73 -0.09 0.82 0.02   -24     0.08 0.10   0.72   0.05       1.11   0.08       1.06 0.08    1.48      0.65 1.49
227  B5V     33  Mid-B   15  0.81 -0.08 0.89 0.02   -14     0.05 0.07   0.82   0.03       1.26   0.05       1.22 0.09    1.14      0.55 1.16
228  ""      ""  Late-B  20  0.52 -0.04 0.56 0.04   -10     0.03 0.06   0.50   0.06       0.77   0.09       ""   ""      0.77      0.35 0.87
229  ""      ""  Late-B  18  0.39 -0.04 0.43 0.04    -9     0.03 0.06   0.37   0.06       0.57   0.09       ""   ""      0.65      0.38 0.71
230  ""      ""  Late-B  26  0.43 -0.04 0.47 0.04   -24     0.08 0.14   0.33   0.06       0.51   0.09       ""   ""      1.38      0.90 1.00
231  ""      ""  Late-B  27  0.64 -0.04 0.68 0.04   -18     0.06 0.10   0.58   0.05       0.89   0.08       ""   ""      1.29      0.49 1.27
232  ""      ""  Early-B 44  0.54 -0.13 0.67 0.05   -12     0.04 0.05   0.62   0.05       0.95   0.08       ""   ""      0.54      0.36 0.93
233  ""      ""  Mid-B   48  0.35 -0.08 0.43 0.05    -7     0.02 0.03   0.40   0.06       0.62   0.09       ""   ""      0.62      0.30 0.81
234  ""      ""  Mid-B   16  0.55 -0.08 0.63 0.05   -19     0.06 0.08   0.55   0.06       0.85   0.09       ""   ""      2.74      0.74 1.00
235  ""      ""  Mid-B   30  0.70 -0.08 0.78 0.05   -33     0.11 0.15   0.63   0.06       0.97   0.09       ""   ""      0.97      0.64 1.05
236  ""      ""  B3      36  0.69 -0.12 0.81 0.02   -47     0.16 0.18   0.63   0.05       0.97   0.08       ""   ""      0.86      0.52 1.00
237  ""      ""  Late-B  25  0.81 -0.04 0.85 0.04   -27     0.09 0.15   0.70   0.06       1.08   0.09       ""   ""      1.14      0.59 1.24
238  ""      ""  Mid-B   23  0.78 -0.08 0.86 0.05   -16     0.05 0.07   0.79   0.06       1.22   0.09       ""   ""      1.32      0.67 1.37
239  ""      ""  Late-B  31  0.55 -0.04 0.59 0.04    -8     0.03 0.06   0.53   0.06       0.82   0.09       ""   ""      0.90      0.46 0.77
240  ""      ""  Late-B  27  0.66 -0.04 0.70 0.04   -23     0.08 0.14   0.56   0.06       0.86   0.09       ""   ""      1.08      0.52 1.50
241  ""      ""  Mid-B   31  0.61 -0.08 0.69 0.05   -30     0.10 0.13   0.56   0.06       0.86   0.09       ""   ""      0.91      0.42 0.87
242  ""      ""  Early-B 15  0.80 -0.13 0.93 0.05   -55     0.18 0.19   0.74   0.06       1.14   0.09       ""   ""      1.14      0.57 1.09
243  ""      ""  Mid-B   30  0.83 -0.08 0.91 0.05   -24     0.08 0.11   0.80   0.06       1.23   0.09       ""   ""      1.18      0.62 1.13
244  ""      ""  Mid-B   23  0.84 -0.08 0.92 0.05   -42     0.14 0.18   0.74   0.06       1.14   0.09       ""   ""      0.93      0.98 1.39
245  ""      ""  Late-B  11  0.73 -0.04 0.77 0.04   -25     0.08 0.14   0.63   0.06       0.97   0.09       ""   ""      0.81      0.31 0.98
246  ""      ""  Late-B  24  0.55 -0.04 0.59 0.04    -9     0.03 0.06   0.53   0.06       0.82   0.09       ""   ""      0.84      0.33 0.73
247  B4V     35  Early-B 11  0.80 -0.09 0.89 0.02   -34     0.11 0.14   0.74   0.04       1.14   0.06       1.11 0.11    1.30      0.72 1.30
248  ""      ""  Late-B  14  0.90 -0.04 0.94 0.04   -22     0.07 0.12   0.82   0.06       1.26   0.09       ""   ""      1.35      0.66 1.23
