ID   SpT     S/N SpT     S/N ri_c ri_o  Eri  err_Eri EW(Ha) fD   Eri_cs Eri_is err_Eri_is EBV_is err_EBV_is R13  err_R13 086_SFD98 RF09 Sale14
 40  ""      ""  Late-B  15  0.77 -0.04 0.81 0.04   -19     0.06 0.10   0.71   0.06       1.09   0.09       ""   ""      1.61      0.54 1.38
 41  ""      ""  Mid-B   42  0.57 -0.08 0.65 0.05   -48     0.16 0.20   0.45   0.06       0.69   0.09       ""   ""      1.23      0.43 1.09
 42  B4V     49  Mid-B   14  0.70 -0.09 0.79 0.02   -47     0.16 0.19   0.60   0.05       0.92   0.08       0.99 0.08    1.20      0.41 1.10
 43  B3V     41  cont+Ba 26  0.95 -0.12 1.07 0.02   -75     0.25 0.26   0.81   0.06       1.25   0.09       1.28 0.08    1.63      0.71 1.23
 44  ""      ""  Late-B  18  0.68 -0.04 0.72 0.04   -25     0.08 0.14   0.58   0.06       0.89   0.09       ""   ""      1.28      0.41 1.15
 45  ""      ""  Late-B  13  0.82 -0.04 0.86 0.04   -26     0.09 0.15   0.71   0.06       1.09   0.09       ""   ""      1.69      0.65 1.45
 46  B5V     27  Late-B  14  0.84 -0.08 0.92 0.01   -44     0.15 0.19   0.73   0.04       1.12   0.06       1.33 0.09    2.06      0.51 1.23
 47  ""      ""  B7      36  0.48 -0.06 0.54 0.02   -20     0.07 0.11   0.43   0.04       0.66   0.06       ""   ""      1.20      0.38 0.98
 48  B6IV    27  Late-B  16  0.64 -0.07 0.71 0.01   -27     0.09 0.13   0.58   0.04       0.89   0.06       1.10 0.07    1.02      0.62 0.90
 49  ""      ""  B3      47  0.67 -0.12 0.79 0.02   -17     0.06 0.08   0.71   0.03       1.09   0.05       ""   ""      1.60      0.46 1.28
 50  B5V     79  B5      39  0.48 -0.08 0.56 0.01   -26     0.09 0.12   0.44   0.04       0.68   0.06       0.82 0.07    1.02      0.37 1.27
 51  B4III   39  cont+Ba 11  0.89 -0.09 0.98 0.02   -26     0.09 0.12   0.86   0.04       1.32   0.06       1.29 0.07    1.20      0.60 1.27
 52  ""      ""  B3      44  0.65 -0.12 0.77 0.02   -24     0.08 0.10   0.67   0.04       1.03   0.06       ""   ""      1.20      0.51 1.24
 53  B3V     48  Mid-B   30  0.84 -0.12 0.96 0.02   -53     0.18 0.20   0.76   0.05       1.17   0.08       1.31 0.07    1.69      0.50 1.33
 54  ""      ""  B3      32  0.46 -0.12 0.58 0.02   -34     0.11 0.13   0.45   0.04       0.69   0.06       ""   ""      1.02      0.34 1.22
 55  B7V     37  cont+Ba 15  0.74 -0.06 0.80 0.02   -48     0.16 0.23   0.57   0.05       0.88   0.08       0.99 0.09    1.20      0.42 1.15
 56* ""      ""  Early-B 24  1.10 -0.13 1.23 0.15   -92     0.31 0.29   0.94   0.16       1.45   0.25       ""   ""      1.37      0.30 1.17
 57  ""      ""  B4      37  0.54 -0.09 0.63 0.02   -14     0.05 0.07   0.56   0.03       0.86   0.05       ""   ""      1.20      0.57 1.08
 58  B3V     29  cont+Ba 18  0.83 -0.12 0.95 0.02   -91     0.30 0.30   0.65   0.06       1.00   0.09       1.00 0.09    1.18      0.37 0.96
 59  ""      ""  B6      49  0.41 -0.07 0.48 0.01   -39     0.13 0.18   0.30   0.05       0.46   0.08       ""   ""      1.14      0.30 1.05
 60  ""      ""  Late-B  21  0.64 -0.04 0.68 0.04   -19     0.06 0.10   0.58   0.06       0.89   0.09       ""   ""      1.22      0.52 1.27
 61  ""      ""  B3      33  0.66 -0.12 0.78 0.02   -76     0.25 0.26   0.52   0.06       0.80   0.09       ""   ""      0.96      0.31 0.90
 62  ""      ""  Mid-B   23  0.54 -0.08 0.62 0.05   -18     0.06 0.08   0.54   0.06       0.83   0.09       ""   ""      0.96      0.40 0.90
 63  ""      ""  Mid-B   19  0.66 -0.08 0.74 0.05   -25     0.08 0.11   0.63   0.06       0.97   0.09       ""   ""      0.97      0.40 0.90
 64  ""      ""  B6      46  0.62 -0.07 0.69 0.01   -16     0.05 0.08   0.61   0.03       0.94   0.05       ""   ""      1.05      0.48 1.23
 65  B5III   42  Late-B  36  0.61 -0.08 0.69 0.01   -20     0.07 0.10   0.59   0.04       0.91   0.06       1.05 0.07    1.12      0.34 0.90
 66  ""      ""  Late-B  34  0.41 -0.04 0.45 0.04   -11     0.04 0.07   0.38   0.05       0.58   0.08       ""   ""      1.24      0.43 1.15
 67  ""      ""  B6      31  0.38 -0.07 0.45 0.01   -16     0.05 0.08   0.37   0.03       0.57   0.05       ""   ""      1.39      0.38 1.04
 68  ""      ""  B7      34  0.37 -0.06 0.43 0.02   -25     0.08 0.13   0.30   0.04       0.46   0.06       ""   ""      1.02      0.02 0.86
 69  ""      ""  Late-B  20  0.55 -0.04 0.59 0.04   -25     0.08 0.14   0.45   0.06       0.69   0.09       ""   ""      1.02      0.29 0.86
 70  B7IV    66  Late-B  28  0.43 -0.06 0.49 0.02   -18     0.06 0.10   0.39   0.04       0.60   0.06       0.77 0.07    1.22      0.42 1.07
 71  ""      ""  Early-B 24  0.61 -0.13 0.74 0.05   -33     0.11 0.12   0.62   0.06       0.95   0.09       ""   ""      1.37      0.34 0.81
 72  ""      ""  Mid-B   36  0.43 -0.08 0.51 0.05   -31     0.10 0.13   0.38   0.06       0.58   0.09       ""   ""      1.17      0.41 1.05
 73  ""      ""  B2      53  0.79 -0.13 0.92 0.02   -45     0.15 0.16   0.76   0.04       1.17   0.06       ""   ""      1.80      0.38 1.36
 74  ""      ""  B4      40  0.57 -0.09 0.66 0.02   -48     0.16 0.19   0.47   0.05       0.72   0.08       ""   ""      1.97      0.05 1.36
 75  B7V     44  B5      32  0.49 -0.06 0.55 0.02   -15     0.05 0.08   0.47   0.04       0.72   0.06       0.80 0.08    0.96      0.40 0.96
 76  ""      ""  B3      43  0.45 -0.12 0.57 0.02    -7     0.02 0.03   0.54   0.04       0.83   0.06       ""   ""      1.95      -0.08 1.24
 77  ""      ""  Mid-B   29  0.62 -0.08 0.70 0.05   -43     0.14 0.18   0.52   0.06       0.80   0.09       ""   ""      0.97      0.23 0.87
 78  ""      ""  Late-B  26  0.45 -0.04 0.49 0.04   -24     0.08 0.14   0.35   0.06       0.54   0.09       ""   ""      1.10      0.42 1.03
