 ID   Name                long    lat    r       ri     rHa   J       err_J  JH     err_JH HK     err_HK  W1      err_W1   W1W2   err_W1W2 iW1    err_iW1  JW1    err_JW1 LP    FF
146   J021336.53+601829.1 132.94  -0.96  13.75   0.63   0.38  12.18   0.02   0.26   0.03   0.15   0.03    11.64   0.02     0.07   0.03     1.49   0.03     0.54   0.03    False True 
147   J021352.00+642520.3 131.68   2.96  15.03   0.47   0.39  13.96   0.03   0.20   0.05   0.19   0.05    13.24   0.03     0.11   0.04     1.32   0.03     0.72   0.04    False True 
148   J021532.96+623236.9 132.46   1.24  13.20   0.64   0.65  11.45   0.02   0.32   0.03   0.25   0.02    10.21   0.02     0.29   0.03     2.35   0.03     1.24   0.03    False True 
149   J021647.40+642812.9 131.97   3.11  14.59   0.52   0.46  13.28   0.02   0.20   0.04   0.23   0.04    12.72   0.02     0.18   0.04     1.35   0.03     0.57   0.03    False True 
150   J021744.41+644335.2 131.98   3.38  13.71   0.56   0.63  12.22   0.02   0.29   0.03   0.27   0.03    11.89   0.02     0.12   0.03     1.25   0.03     0.33   0.03    False True 
151   J021747.84+643419.9 132.04   3.24  14.66   0.57   0.62  13.14   0.03   0.28   0.04   0.27   0.03       ""     ""       ""     ""       ""     ""       ""     ""    False True 
152   J022009.76+643605.9 132.27   3.35  15.65   0.55   0.43  14.27   0.03   0.29   0.05   0.17   0.07       ""     ""       ""     ""       ""     ""       ""     ""    False True 
153   J022033.45+625717.4 132.86   1.81  15.71   0.71   0.85  13.90   0.02   0.40   0.03   0.45   0.04    12.55   0.03     0.38   0.03     2.44   0.03     1.35   0.03    True  True 
154   J022045.25+631642.8 132.78   2.13  15.02   0.52   0.49  13.85   0.03   0.22   0.05   0.22   0.05    13.19   0.03     0.14   0.04     1.32   0.03     0.67   0.04    False True 
155   J022053.65+642835.6 132.38   3.26  15.91   0.61   0.49  14.28   0.03   0.31   0.05   0.20   0.06    13.47   0.03     0.08   0.05     1.83   0.03     0.81   0.04    False True 
156   J022100.28+635435.2 132.59   2.73  13.09   0.40   0.39  12.11   0.02   0.13   0.04   0.13   0.04    11.66   0.03     0.11   0.04     1.03   0.03     0.45   0.03    False True 
157   J022107.83+625754.6 132.92   1.85  14.94   0.68   0.57  13.23   0.03   0.31   0.05   0.36   0.05    12.09   0.02     0.26   0.03     2.17   0.03     1.14   0.04    False True 
158   J022222.78+623841.9 133.17   1.59  15.17   0.58   0.43  13.54   0.02   0.33   0.04   0.20   0.04    12.81   0.03     0.13   0.04     1.77   0.03     0.72   0.03    False True 
159   J022227.73+623530.6 133.19   1.55  14.32   0.41   0.71  13.12   0.03   0.23   0.04   0.16   0.04    12.33   0.02     0.34   0.03     1.58   0.03     0.79   0.03    False True 
160   J022337.05+601602.8 134.13  -0.59  14.00   0.58   0.49  12.54   0.02   0.25   0.02   0.16   0.03    11.34   0.02     0.28   0.03     2.08   0.03     1.20   0.03    True  True 
161   J022343.45+603545.6 134.02  -0.27  12.94   0.66   0.44  11.24   0.03   0.26   0.05   0.19   0.05    10.63   0.03     0.11   0.04     1.65   0.03     0.62   0.04    False True 
162   J022420.68+624842.5 133.32   1.83  13.43   0.60   0.48  11.74   0.02   0.32   0.03   0.18   0.02    11.01   0.02     0.19   0.03     1.82   0.03     0.73   0.03    False True 
163   J022502.69+644947.6 132.68   3.74  13.26   0.53   0.44  11.80   0.02   0.26   0.03   0.19   0.03    11.14   0.02     0.12   0.03     1.59   0.03     0.66   0.03    False True 
164   J022636.00+601401.8 134.49  -0.49  14.50   0.96   0.99  12.13   0.02   0.56   0.02   0.49   0.02    10.47   0.02     0.42   0.03     3.07   0.03     1.66   0.03    True  True 
165   J022821.67+641216.0 133.24   3.29  15.84   0.61   0.49  14.16   0.02   0.22   0.04   0.27   0.05    13.43   0.03     0.12   0.05     1.79   0.04     0.72   0.04    False True 
166   J022823.86+631834.8 133.57   2.46  12.78   0.55   0.63  11.45   0.02   0.28   0.02   0.30   0.02    11.01   0.02     0.23   0.03     1.21   0.03     0.44   0.03    False True 
167   J022953.81+630742.2 133.79   2.35  14.25   0.67   0.50  12.85   0.02   0.22   0.03   0.15   0.03    11.15   0.02     0.25   0.03     2.43   0.03     1.70   0.03    True  True 
168   J023003.21+643829.4 133.25   3.76  15.31   0.56   0.53  13.84   0.02   0.17   0.04   0.24   0.05    13.28   0.03     0.10   0.04     1.47   0.03     0.56   0.03    False True 
169*  J023031.38+594127.1 135.14  -0.81  14.48   0.57   0.43  12.96   0.02   0.31   0.04   0.17   0.04    12.32   0.02     0.12   0.03     1.60   0.03     0.65   0.03    True  True 
170   J023035.11+610005.9 134.66   0.41  14.56   0.63   0.47  12.61   0.02   0.42   0.03   0.39   0.03    11.68   0.02     0.30   0.03     2.25   0.03     0.93   0.03    False True 
171   J023150.04+604952.4 134.86   0.31  13.85   0.41   0.35  12.75   0.02   0.19   0.03   0.12   0.03    12.28   0.03     0.10   0.04     1.15   0.03     0.47   0.03    False True 
172   J023202.89+641033.2 133.62   3.41  16.23   0.67   0.44  14.47   0.03   0.25   0.05   0.32   0.06    13.78   0.03     0.03   0.06     1.78   0.03     0.68   0.04    False True 
173   J023235.10+640522.7 133.71   3.35  13.53   0.76   0.76  11.62   0.02   0.33   0.02   0.27   0.02    10.94   0.02     0.31   0.03     1.82   0.03     0.69   0.03    False True 
174** J023404.70+605914.4 135.06   0.55  12.90   0.64   0.66  11.30   0.02   0.42   0.03   0.51   0.03     8.73   0.02     1.64   0.03     3.53   0.03     2.57   0.03    True  True 
175   J023411.97+595634.2 135.47  -0.40  13.13   0.59   0.56  11.65   0.02   0.28   0.03   0.23   0.03    11.27   0.02     0.05   0.03     1.27   0.03     0.38   0.03    False True 
176   J023431.08+601616.5 135.38  -0.08  13.58   1.13   0.82  10.77   0.02   0.55   0.03   0.48   0.04     9.34   0.02     0.39   0.03     3.12   0.03     1.43   0.03    True  True 
177   J023439.79+641813.4 133.83   3.64  17.02   0.77   0.49  15.11   0.04   0.28   0.09   0.26   0.11    14.39   0.04    -0.15   0.09     1.86   0.04     0.72   0.06    False True 
178   J023536.82+625251.7 134.49   2.37  16.68   0.59   0.46  14.96   0.06   0.31   0.11   0.23   0.13       ""     ""       ""     ""       ""     ""       ""     ""    False True 
179   J023629.19+634245.8 134.25   3.17  15.61   0.64   0.60  13.92   0.03   0.32   0.05   0.37   0.05    13.53   0.03     0.11   0.04     1.44   0.03     0.39   0.04    False True 
180   J023642.66+614714.8 135.03   1.41  15.38   0.54   0.41  13.95   0.05   0.33   0.07   0.14   0.06    13.31   0.07     0.18   0.10     1.53   0.07     0.64   0.09    True  True 
181   J023744.52+605352.8 135.50   0.65  16.79   0.76   0.52  14.76   0.04   0.27   0.07   0.31   0.09    14.06   0.03     0.20   0.06     1.97   0.04     0.70   0.05    True  False
182   J023753.78+620410.0 135.05   1.73  13.03   0.58   0.47  11.58   0.02   0.27   0.03   0.26   0.03    11.97   0.02    -0.02   0.03     0.49   0.03    -0.39   0.03    False True 
183   J023758.11+634635.6 134.38   3.30  13.30   0.36   0.36  12.34   0.02   0.18   0.03   0.07   0.03    11.89   0.02     0.06   0.03     1.05   0.03     0.45   0.03    False True 
184   J023809.91+620224.6 135.09   1.71  13.21   0.57   0.54  11.71   0.02   0.30   0.02   0.19   0.02    10.96   0.02     0.17   0.03     1.67   0.03     0.75   0.03    False True 
185   J023841.80+640826.3 134.30   3.66  14.05   0.64   0.44  12.38   0.02   0.30   0.03   0.17   0.03    11.63   0.02     0.16   0.03     1.79   0.03     0.75   0.03    False True 
186   J023948.17+604505.1 135.79   0.61  13.26   0.37   0.42  12.28   0.02   0.21   0.03   0.12   0.03    11.93   0.03     0.07   0.04     0.96   0.03     0.35   0.03    False True 
187   J024054.97+630009.8 134.99   2.72  15.69   0.54   0.49  14.36   0.03   0.29   0.05   0.21   0.07    13.73   0.03     0.15   0.05     1.41   0.04     0.63   0.04    True  True 
188   J024146.73+602532.2 136.14   0.42  14.05   0.63   0.71  12.31   0.02   0.30   0.03   0.25   0.03    11.53   0.02     0.29   0.03     1.89   0.03     0.78   0.03    True  True 
189   J024159.21+600106.0 136.34   0.06  14.55   0.65   0.58  12.80   0.02   0.29   0.02   0.21   0.03    12.07   0.02     0.17   0.03     1.83   0.03     0.73   0.03    True  True 
190   J024221.54+593716.4 136.54  -0.29  13.38   0.61   0.46  11.67   0.02   0.23   0.03   0.26   0.03    10.74   0.02     0.40   0.03     2.03   0.03     0.93   0.03    False True 
191   J024252.56+611953.9 135.89   1.30  15.74   0.64   0.73  13.95   0.03   0.36   0.05   0.37   0.05    12.84   0.03     0.33   0.04     2.27   0.03     1.12   0.04    True  True 
192   J024305.60+631614.7 135.10   3.07  14.55   0.55   0.61  13.27   0.02   0.27   0.03   0.31   0.04    12.24   0.02     0.27   0.03     1.77   0.03     1.03   0.03    False True 
193   J024317.68+603205.5 136.27   0.59  13.67   0.66   0.68  11.98   0.03   0.32   0.04   0.26   0.04    10.73   0.02     0.26   0.03     2.28   0.03     1.25   0.04    True  True 
194   J024332.05+632150.1 135.11   3.17  14.16   0.46   0.46  12.98   0.02   0.21   0.03   0.14   0.03    12.37   0.02     0.18   0.03     1.34   0.03     0.62   0.03    False True 
195   J024405.37+621448.7 135.64   2.19  15.22   0.49   0.48  13.80   0.02   0.49   0.03   0.49   0.04    12.10   0.02     0.56   0.03     2.63   0.03     1.69   0.03    True  True 
196   J024454.00+635608.0 135.01   3.76  15.75   0.58   0.51  14.25   0.02   0.23   0.05   0.22   0.06    13.56   0.03     0.20   0.04     1.61   0.03     0.69   0.04    False True 
197   J024504.86+612502.1 136.09   1.48  15.35   0.56   0.47  13.81   0.02   0.35   0.04   0.21   0.04    13.01   0.03     0.14   0.04     1.78   0.03     0.81   0.03    True  True 
198   J024506.09+611409.1 136.17   1.32  15.97   0.65   0.65  14.12   0.02   0.35   0.03   0.31   0.04    13.07   0.03     0.27   0.05     2.25   0.04     1.05   0.04    True  True 
199   J024509.54+612523.5 136.10   1.49  15.11   0.53   0.34  13.37   0.02   0.41   0.04   0.38   0.04       ""     ""       ""     ""       ""     ""       ""     ""    False True 
200   J024519.10+633755.1 135.18   3.50  14.04   0.55   0.62  12.74   0.02   0.30   0.03   0.26   0.03    11.84   0.02     0.26   0.03     1.66   0.03     0.90   0.03    False True 
201   J024521.28+625416.2 135.49   2.84  13.59   0.44   0.46  12.48   0.02   0.19   0.03   0.16   0.03    11.82   0.02     0.24   0.03     1.33   0.03     0.66   0.03    False True 
202   J024540.61+592151.2 137.03  -0.34  13.28   0.47   0.55  11.99   0.02   0.23   0.03   0.20   0.03    11.59   0.02     0.13   0.03     1.22   0.03     0.40   0.03    False True 
203   J024553.87+635414.7 135.12   3.77  14.21   0.68   0.53  12.48   0.02   0.34   0.03   0.30   0.03    11.30   0.03     0.29   0.03     2.23   0.03     1.18   0.03    False True 
204   J024618.12+613514.7 136.15   1.70  15.70   0.50   0.47  14.33   0.03   0.27   0.04   0.13   0.05    13.95   0.03     0.16   0.06     1.25   0.04     0.38   0.04    True  True 
205   J024735.56+615530.9 136.15   2.07  13.44   0.39   0.44  12.29   0.02   0.23   0.03   0.12   0.03    11.72   0.03     0.22   0.04     1.33   0.03     0.57   0.03    False True 
206   J024753.07+613405.8 136.33   1.76  14.37   0.68   0.74  12.61   0.02   0.40   0.03   0.27   0.03    11.38   0.02     0.39   0.03     2.31   0.03     1.24   0.03    False True 
207   J024758.73+630156.8 135.71   3.09  14.66   0.54   0.74  13.24   0.02   0.36   0.03   0.30   0.03    12.13   0.03     0.34   0.03     1.99   0.03     1.11   0.03    False True 
208   J024823.01+614728.1 136.29   1.99  12.91   0.38   0.48  11.72   0.02   0.23   0.03   0.13   0.03    11.10   0.02     0.16   0.03     1.43   0.03     0.63   0.03    False True 
209   J024823.69+614107.1 136.34   1.90  14.09   0.40   0.61  12.75   0.02   0.29   0.03   0.24   0.03    11.86   0.02     0.26   0.03     1.82   0.03     0.89   0.03    True  True 
210   J024838.04+630153.0 135.77   3.12  15.21   0.45   0.65  13.89   0.03   0.23   0.05   0.18   0.06    13.31   0.03     0.22   0.04     1.45   0.03     0.58   0.04    False True 
211   J024913.93+631042.4 135.77   3.28  13.16   0.39   0.54  12.04   0.03   0.25   0.05   0.27   0.05       ""     ""       ""     ""       ""     ""       ""     ""    False True 
212   J024928.47+595248.4 137.24   0.33  13.37   0.83   0.70  11.25   0.02   0.47   0.03   0.41   0.03     9.94   0.02     0.38   0.03     2.61   0.03     1.31   0.03    False True 
213   J024940.66+621424.8 136.23   2.46  13.24   0.33   0.45  12.36   0.02   0.13   0.04   0.12   0.04    11.85   0.02     0.15   0.03     1.05   0.03     0.51   0.03    False True 
214   J025016.65+624435.6 136.07   2.94  14.48   0.42   0.37  13.21   0.02   0.24   0.04   0.11   0.04    12.67   0.03     0.09   0.04     1.39   0.03     0.55   0.03    True  True 
215   J025059.12+615648.7 136.50   2.26  15.28   0.45   0.58  14.16   0.03   0.21   0.04   0.22   0.05    13.59   0.03     0.26   0.05     1.24   0.04     0.56   0.04    True  True 
216   J025102.21+615733.8 136.50   2.28  14.07   0.51   0.81  12.70   0.02   0.30   0.04   0.37   0.04    11.47   0.02     0.30   0.03     2.08   0.03     1.22   0.03    True  True 
217*  J025136.03+601557.5 137.31   0.79  15.71   0.44   0.45  14.16   0.03   0.50   0.05   0.37   0.05    12.12   0.03     0.48   0.03     3.15   0.03     2.04   0.04    False True 
218   J025200.23+621145.2 136.49   2.54  13.85   0.40   0.45  12.65   0.03   0.22   0.04   0.16   0.04    11.96   0.02     0.19   0.03     1.49   0.03     0.70   0.03    False True 
219*  J025204.14+583423.4 138.12  -0.70  12.96   0.35   0.46  11.84   0.02   0.17   0.03   0.17   0.03    11.48   0.02     0.17   0.03     1.13   0.03     0.35   0.03    False True 
220*  J025233.24+615902.2 136.64   2.38  14.82   0.43   0.36  13.60   0.03   0.14   0.05   0.22   0.06    13.05   0.03     0.09   0.04     1.33   0.03     0.55   0.04    True  True 
221   J025324.51+614622.9 136.83   2.24  15.46   0.59   0.58  13.79   0.03   0.29   0.05   0.42   0.06    13.31   0.03     0.12   0.04     1.56   0.03     0.48   0.04    False True 
222   J025448.83+605832.1 137.34   1.60  16.17   0.80   0.52  13.90   0.03   0.41   0.05   0.32   0.05    12.88   0.03     0.18   0.05     2.49   0.04     1.02   0.05    True  True 
223   J025502.38+605001.9 137.43   1.49  14.52   0.54   0.42  12.96   0.02   0.33   0.04   0.22   0.04       ""     ""       ""     ""       ""     ""       ""     ""    True  False
224   J025610.39+580629.6 138.81  -0.87  13.81   0.62   0.25  12.30   0.02   0.20   0.03   0.15   0.03    11.35   0.02     0.29   0.03     1.84   0.03     0.95   0.03    True  True 
225   J025631.47+593648.4 138.16   0.49  15.01   0.70   0.74  13.26   0.02   0.36   0.03   0.36   0.03    12.12   0.02     0.32   0.03     2.19   0.03     1.14   0.03    False True 
226   J025700.47+575742.8 138.98  -0.94  14.26   0.71   0.56  12.60   0.02   0.24   0.03   0.15   0.03    11.80   0.02     0.21   0.03     1.74   0.03     0.80   0.03    True  True 
227   J025704.89+584311.6 138.63  -0.27  16.25   0.81   0.51  14.13   0.02   0.43   0.03   0.21   0.04    13.26   0.03     0.17   0.04     2.19   0.03     0.87   0.04    True  True 
228   J025737.78+624703.4 136.80   3.36  14.77   0.51   0.39  13.53   0.02   0.23   0.04   0.15   0.05    12.92   0.03     0.18   0.04     1.34   0.03     0.61   0.03    False True 
229   J025904.88+621459.5 137.20   2.97  15.59   0.39   0.34  14.48   0.03   0.21   0.07   0.17   0.08    14.18   0.03    -0.19   0.08     1.02   0.04     0.30   0.05    False True 
230   J025935.04+603207.2 138.06   1.48  13.88   0.43   0.49  12.52   0.02   0.27   0.04   0.21   0.04    11.75   0.02     0.16   0.03     1.71   0.03     0.77   0.03    False True 
231   J025959.45+582929.5 139.07  -0.29  13.31   0.63   0.49  11.69   0.02   0.31   0.03   0.13   0.03    11.18   0.02     0.07   0.03     1.50   0.03     0.51   0.03    False True 
232   J030010.27+613223.2 137.65   2.40  13.73   0.54   0.42  12.49   0.02   0.11   0.04   0.34   0.04    11.91   0.02     0.23   0.03     1.28   0.03     0.58   0.03    False True 
233   J030056.68+615940.7 137.51   2.85  13.04   0.35   0.31  12.17   0.02   0.13   0.03   0.10   0.03    11.85   0.03    -0.05   0.04     0.84   0.03     0.33   0.03    False True 
234   J030120.82+602444.9 138.31   1.48  14.38   0.55   0.48  12.83   0.02   0.23   0.04   0.25   0.03    12.19   0.03     0.14   0.04     1.64   0.03     0.64   0.03    False True 
235   J030124.02+610221.3 138.02   2.03  14.85   0.69   0.64  13.02   0.02   0.32   0.04   0.35   0.04    11.92   0.02     0.28   0.03     2.24   0.03     1.10   0.03    False True 
236   J030133.63+593518.5 138.73   0.77  14.07   0.67   0.73  12.42   0.02   0.40   0.03   0.33   0.02    11.26   0.02     0.34   0.03     2.15   0.03     1.17   0.03    False True 
237   J030317.45+583402.0 139.42  -0.02  14.57   0.80   0.61  12.51   0.02   0.35   0.03   0.22   0.03    11.63   0.02     0.19   0.03     2.14   0.03     0.87   0.03    False True 
238   J030331.33+585234.6 139.29   0.27  14.64   0.77   0.51  12.60   0.03   0.37   0.05   0.16   0.04    11.79   0.03     0.11   0.04     2.09   0.04     0.81   0.04    False True 
239   J030332.31+623856.7 137.46   3.56  14.32   0.55   0.38  12.80   0.02   0.27   0.04   0.17   0.04    12.17   0.02     0.10   0.03     1.60   0.03     0.63   0.03    False True 
240   J030422.01+574820.4 139.91  -0.62  14.40   0.65   0.54  12.91   0.02   0.26   0.03   0.17   0.03    12.00   0.02     0.25   0.03     1.75   0.03     0.92   0.03    False True 
241   J030423.32+622900.9 137.63   3.47  13.70   0.60   0.59  12.10   0.02   0.31   0.03   0.22   0.03    11.38   0.02     0.22   0.03     1.72   0.03     0.71   0.03    False True 
242   J030451.26+594758.8 138.99   1.15  15.09   0.76   0.81  13.06   0.02   0.44   0.05   0.38   0.05    11.72   0.02     0.32   0.03     2.61   0.03     1.34   0.03    False True 
243   J030501.73+585146.8 139.47   0.35  13.46   0.81   0.59  11.00   0.01   0.35   0.03   0.32   0.03    10.75   0.02     0.04   0.03     1.89   0.03     0.24   0.03    False True 
244   J030539.90+610725.6 138.43   2.36  14.47   0.81   0.73  12.21   0.02   0.54   0.03   0.32   0.03    10.78   0.02     0.28   0.03     2.88   0.03     1.43   0.03    False True 
245   J030625.00+614359.0 138.20   2.93  15.87   0.71   0.58  13.90   0.03   0.40   0.04   0.24   0.05       ""     ""       ""     ""       ""     ""       ""     ""    False True 
246   J031141.73+614847.9 138.70   3.31  15.50   0.54   0.38  14.00   0.03   0.24   0.04   0.18   0.05    13.38   0.04     0.03   0.06     1.57   0.04     0.61   0.05    False True 
247   J031208.92+605534.5 139.21   2.58  15.11   0.78   0.67  12.90   0.02   0.45   0.03   0.41   0.03    11.58   0.02     0.33   0.03     2.76   0.03     1.33   0.03    True  True 
248   J031333.27+603307.1 139.55   2.35  15.74   0.89   0.59  13.69   0.03   0.44   0.05   0.36   0.05    12.34   0.02     0.27   0.03     2.51   0.03     1.35   0.04    False True 

